be capable of ～ing,…できる
understand ～,～を理解する
figure out ～,～を理解する
give birth to ～,～を生む、～を引き起こす
give rise to ～,～を生む、～を引き起こす
put off ～,～を延期する
postpone ～,～を延期する
call ～ off,～を中止する
do away with ～,～を廃止する
abolish ～,～を廃止する
get rid of ～,～を廃止する
seek to …,…しようと努める
mean to …,…するつもりである
make up one's mind (to …),（…する）決心をする
decide (to …),（…する）決心をする
determine (to …),（…する）決心をする
fail to …,…できない、…し損なう
the last ～ to …,最も…しそうにない～
aside from ～,～の他にも
except for ～,～を除けば
in favor of ～,～に賛成して
in honor of ～,～に敬意を表して
in exchange for ～,～と交換に
instead of ～,～の代わりに
on behalf of ～,～を代表して
at the expense of ～,～を犠牲にして
at the cost of ～,～を犠牲にして
on earth,いったい
in the world,いったい
by nature,生まれつき
in itself,それ自体では
no less than ～,～も
not more than ～,多くとも～、せいぜい～
at best,せいぜい
nothing but ～,～にすぎない
only ～,～にすぎない
by no means ～,決して～ない
never ～,決して～ない
anything but ～,決して～ない
far from ～,少しも～でない
with ease,容易に
easily,容易に
in vain,無駄に
vainly,無駄に
on and off,断続的に
in a row,連続で
in force,大挙して
pay attention to ～,～に注意を払う
take account of ～,～を考慮に入れる
take ～ into account,～を考慮に入れる
take ～ into consideration,～を考慮に入れる
think much of ～,～のことを重視する
look into ～,～を調べる
investigate ～,～を調べる
look up (～),～を調べる、見上げる
look up to ～,～を尊敬する
respect ～,～を尊敬する
look down on ～,～を軽蔑する
despise ～,～を軽蔑する
hold ～ in contempt,～を軽蔑する
make fun of ～,～をからかう
ridicule ～,～をからかう
laugh at ～,～を笑う
enjoy oneself,楽しく時を過ごす
blow up,爆発する
go by,過ぎ去る
pass away,亡くなる
die,亡くなる
wear out,使い古す、すり減る
make do with ～,～で間に合わせる
keep away from ～,～に近寄らない
keep off ～,～から離れておく
make believe ～,～のふりをする
pretend ～,～のふりをする
take ～ in,～をだます
boast of ～,～を自慢する
lay off ～,～を一時解雇する
hold ～ back\,～を押しとどめる
hit on ～,～を急に思いつく
reach for ～,～を取ろうと手を伸ばす
go so far as to …,…しさえする、…してまでする
refuse to …,…することを拒否する
know better than to …,…するほど愚かではない
have no choice but to …,…する以外に選択肢がない
have yet to …,まだこれから…しなければならない
get lost,道に迷う
at a loss,途方に暮れて
as far as ～ is concerned,～に関する限り
so far as ～ is concerned,～に関する限り
in terms of ～,～という観点では
from ～ point of view,～の観点から
from ～ viewpoint,～の観点から
in addition to ～,～に付け加えて
besides ～,～に付け加えて
in proportion to ～,～に比例して
at the mercy of ～,～のなすがままに
at the sight of ～,～を見て
at first sight,一目見て
at large,一般の、逃走中で
to one's surprise,驚いたことには
once and for all,これを最後に
